Grid,Japanese (Kanji),Japanese (Hiragana),Romanized Japanese,Longitude,Latitude,Classification
5437,穂高岳,ほたかだけ,Hotaka Dake,137゜ 37’,36゜ 17’,Mountain
5539,武尊山,ほたかやま,Hotaka Yama,139゜ 07’,36゜ 48’,Mountain
,ほとけのざ海山,ほとけのざかいざん,Hotokenoza Kaizan,148゜ 35’,25゜ 04’,Undersea feature
,堀田海山　,ほったかいざん,Hotta Kaizan,145゜ 58’,37゜ 43’,Undersea feature
5032,防予諸島,ほうよしょとう,Hoyo Shoto,132゜ 25’,33゜ 53’,Extensive natural featur
4630,甫与志岳,ほよしだけ,Hoyoshi Dake,130゜ 59’,31゜ 15’,Mountain
5335,百里ヶ岳,ひゃくりがだけ,Hyakurigadake,135゜ 48’,35゜ 23’,Mountain
4930,兵戸峠,ひょうどとうげ,Hyodo Toge,130゜ 54’,33゜ 03’,Pass
5235,兵庫県,ひょうごけん,Hyogo Ken,135゜ 10’,34゜ 41’,Municipality
5334,氷ノ山（須賀ノ山）,ひょうのせん（すがのせん）,Hyonosen (Suganosen),134゜ 30’,35゜ 21’,Mountain
,日向海盆,ひゅうがかいぼん,Hyuga Kaibon,132゜ 24’,32゜ 05’,Undersea feature
4831,日向灘,ひゅうがなだ,Hyuga Nada,131゜ 48’,32゜ 24’,Sea Area
4831,日向市,ひゅうがし,Hyuga Shi,131゜ 37’,32゜ 25’,Municipality
5034,伊島,いしま,I Shima,134゜ 48’,33゜ 50’,Island
5133,井原市,いばらし,Ibara Shi,133゜ 27’,34゜ 35’,Municipality
5440,茨城県,いばらきけん,Ibaraki Ken,140゜ 26’,36゜ 20’,Municipality
5440,茨城町,いばらきまち,Ibaraki Machi,140゜ 25’,36゜ 17’,Municipality
5235,茨木市,いばらきし,Ibaraki Shi,135゜ 34’,34゜ 48’,Municipality
5236,揖斐川,いびがわ,Ibi Gawa,136゜ 42’,35゜ 02’,River
5336,揖斐川町,いびがわちょう,Ibigawa Cho,136゜ 34’,35゜ 29’,Municipality
5234,揖保川,いぼがわ,Ibo Gawa,134゜ 34’,34゜ 44’,River
5133,伊吹島,いぶきじま,Ibuki Jima,133゜ 31’,34゜ 07’,Island
5336,伊吹山地,いぶきさんち,Ibuki Sanchi,136゜ 20’,35゜ 33’,Extensive natural featur
5336,伊吹山,いぶきやま,Ibuki Yama,136゜ 23’,35゜ 25’,Mountain
4630,指宿市,いぶすきし,Ibusuki Shi,130゜ 37’,31゜ 15’,Municipality
5234,市川,いちかわ,Ichi Kawa,134゜ 40’,34゜ 45’,River
4229,市崎,いちさき,Ichi Saki,129゜ 28’,28゜ 12’,Cape
4831,市房山,いちふさやま,Ichifusa Yama,131゜ 06’,32゜ 18’,Mountain
5340,市原市,いちはらし,Ichihara Shi,140゜ 06’,35゜ 29’,Municipality
6545,一菱内湖,いちひしないこ,Ichihishinai Ko,145゜ 29’,43゜ 52’,Lake
5440,市貝町,いちかいまち,Ichikai Machi,140゜ 06’,36゜ 32’,Municipality
5234,市川町,いちかわちょう,Ichikawa Cho,134゜ 45’,34゜ 59’,Municipality
5339,市川市,いちかわし,Ichikawa Shi,139゜ 55’,35゜ 43’,Municipality
5338,市川三郷町,いちかわみさとちょう,Ichikawamisato Cho,138゜ 30’,35゜ 33’,Municipality
4730,いちき串木野市,いちきくしきのし,Ichikikushikino Shi,130゜ 16’,31゜ 42’,Municipality
6041,一戸町,いちのへまち,Ichinohe Machi,141゜ 17’,40゜ 12’,Municipality
5939,一ノ目潟,いちのめがた,Ichinome Gata,139゜ 44’,39゜ 57’,Lake
5340,一宮町,いちのみやまち,Ichinomiya Machi,140゜ 22’,35゜ 22’,Municipality
5236,一宮市,いちのみやし,Ichinomiya Shi,136゜ 48’,35゜ 18’,Municipality
5841,一関市,いちのせきし,Ichinoseki Shi,141゜ 07’,38゜ 56’,Municipality
5235,井手町,いでちょう,Ide Cho,135゜ 48’,34゜ 47’,Municipality
6342,イドンナップ岳,いどんなっぷだけ,Idonnappu Dake,142゜ 38’,42゜ 37’,Mountain
4027,伊江島,いえしま,Ie Shima,127゜ 46’,26゜ 44’,Island
4027,伊江村,いえそん,Ie Son,127゜ 48’,26゜ 42’,Municipality
5134,家島諸島,いえしましょとう,Ieshima Shoto,134゜ 31’,34゜ 37’,Extensive natural featur
5236,伊賀市,いがし,Iga Shi,136゜ 07’,34゜ 46’,Municipality
5639,五十嵐川,いがらしがわ,Igarashi Gawa,139゜ 02’,37゜ 34’,River
4027,伊平屋島,いへやじま,Iheya Jima,127゜ 58’,27゜ 03’,Island
4027,伊平屋村,いへやそん,Iheya Son,127゜ 58’,27゜ 02’,Municipality
5337,飯田市,いいだし,Iida Shi,137゜ 49’,35゜ 30’,Municipality
5739,飯豊町,いいでまち,Iide Machi,139゜ 59’,38゜ 02’,Municipality
5639,飯豊山,いいでさん,Iide San,139゜ 42’,37゜ 51’,Mountain
5538,飯士山,いいじさん,Iiji San,138゜ 49’,36゜ 57’,Mountain
5337,飯島町,いいじままち,Iijima Machi,137゜ 55’,35゜ 40’,Municipality
5639,飯森山,いいもりやま,Iimori Yama,139゜ 55’,37゜ 48’,Mountain
5232,飯南町,いいなんちょう,Iinan Cho,132゜ 42’,35゜ 00’,Municipality
5333,飯梨川,いいなしがわ,Iinashi Gawa,133゜ 13’,35゜ 27’,River
5640,飯野町,いいのまち,Iino Machi,140゜ 32’,37゜ 39’,Municipality
5640,飯舘村,いいたてむら,Iitate Mura,140゜ 44’,37゜ 40’,Municipality
5538,飯山市,いいやまし,Iiyama Shi,138゜ 21’,36゜ 51’,Municipality
5640,飯坂,いいざか,Iizaka,140゜ 27’,37゜ 49’,Populated area
5030,飯塚市,いいづかし,Iizuka Shi,130゜ 41’,33゜ 38’,Municipality
5538,飯綱町,いいづなまち,Iizuna Machi,138゜ 14’,36゜ 45’,Municipality
5538,飯縄山,いいづなやま,Iizuna Yama,138゜ 07’,36゜ 44’,Mountain
5135,斑鳩町,いかるがちょう,Ikaruga Cho,135゜ 43’,34゜ 36’,Municipality
5032,伊方町,いかたちょう,Ikata Cho,132゜ 21’,33゜ 29’,Municipality
5238,井川,いかわ,Ikawa,138゜ 14’,35゜ 13’,Populated area
5940,井川町,いかわまち,Ikawa Machi,140゜ 04’,39゜ 54’,Municipality
4929,池島,いけしま,Ike Shima,129゜ 35’,32゜ 52’,Island
5339,池袋,いけぶくろ,Ikebukuro,139゜ 42’,35゜ 43’,Populated area
5336,池田町,いけだちょう,Ikeda Cho,136゜ 20’,35゜ 53’,Municipality
5336,池田町,いけだちょう,Ikeda Cho,136゜ 34’,35゜ 26’,Municipality
6443,池田町,いけだちょう,Ikeda Cho,143゜ 26’,42゜ 55’,Municipality
4630,池田湖,いけだこ,Ikeda Ko,130゜ 33’,31゜ 14’,Lake
5437,池田町,いけだまち,Ikeda Machi,137゜ 52’,36゜ 25’,Municipality
5235,池田市,いけだし,Ikeda Shi,135゜ 25’,34゜ 49’,Municipality
5136,池木屋山,いけごややま,Ikegoya Yama,136゜ 07’,34゜ 18’,Mountain
3725,池間島,いけまじま,Ikema Jima,125゜ 13’,24゜ 55’,Island
5029,壱岐市,いきし,Iki Shi,129゜ 41’,33゜ 44’,Municipality
5029,壱岐島,いきしま,Iki Shima,129゜ 41’,33゜ 47’,Island
5029,壱岐水道,いきすいどう,Iki Suido,129゜ 45’,33゜ 36’,Sea Area
5029,生月島,いきつきしま,Ikitsuki Shima,129゜ 25’,33゜ 23’,Island
5235,生駒市,いこまし,Ikoma Shi,135゜ 42’,34゜ 41’,Municipality
5235,生駒山,いこまやま,Ikoma Yama,135゜ 40’,34゜ 40’,Mountain
5133,生口島,いくちしま,Ikuchi Shima,133゜ 05’,34゜ 17’,Island
5537,生地鼻,いくぢはな,Ikuji Hana,137゜ 23’,36゜ 53’,Cape
5437,生坂村,いくさかむら,Ikusaka Mura,137゜ 55’,36゜ 25’,Municipality
6441,幾春別,いくしゅんべつ,Ikushunbetsu,141゜ 56’,43゜ 15’,Populated area
6442,幾春別岳,いくしゅんべつだけ,Ikushunbetsu Dake,142゜ 09’,43゜ 13’,Mountain
5030,今川,いまがわ,Ima Gawa,130゜ 57’,33゜ 42’,River
5132,今治市,いまばりし,Imabari Shi,132゜ 59’,34゜ 03’,Municipality
6140,今別町,いまべつまち,Imabetsu Machi,140゜ 28’,41゜ 10’,Municipality
6340,今金町,いまかねちょう,Imakane Cho,140゜ 00’,42゜ 25’,Municipality
4932,今ノ山,いまのやま,Imanoyama,132゜ 50’,32゜ 51’,Mountain
4929,伊万里市,いまりし,Imari Shi,129゜ 52’,33゜ 15’,Municipality
5537,射水市,いみずし,Imizu Shi,137゜ 05’,36゜ 42’,Municipality
3942,妹島,いもうとじま,Imoto Jima,142゜ 12’,26゜ 33’,Island
5539,伊南川,いながわ,Ina Gawa,139゜ 28’,37゜ 17’,River
5439,伊奈町,いなまち,Ina Machi,139゜ 37’,36゜ 00’,Municipality
5337,伊那市,いなし,Ina Shi,137゜ 57’,35゜ 49’,Municipality
5236,いなべ市,いなべし,Inabe Shi,136゜ 33’,35゜ 06’,Municipality
5235,猪名川町,いながわちょう,Inagawa Cho,135゜ 22’,34゜ 53’,Municipality
5339,稲城市,いなぎし,Inagi Shi,139゜ 30’,35゜ 38’,Municipality
6339,稲穂岬,いなほみさき,Inaho Misaki,139゜ 33’,42゜ 14’,Cape
6040,田舎館村,いなかだてむら,Inakadate Mura,140゜ 33’,40゜ 37’,Municipality
5234,稲美町,いなみちょう,Inami Cho,134゜ 54’,34゜ 44’,Municipality
5035,印南町,いなみちょう,Inami Cho,135゜ 13’,33゜ 49’,Municipality
5039,藺灘波島,いなんばじま,Inanba Jima,139゜ 17’,33゜ 39’,Island
6041,稲庭岳,いなにわだけ,Inaniwa Dake,141゜ 02’,40゜ 11’,Mountain
5340,稲敷市,いなしきし,Inashiki Shi,140゜ 19’,35゜ 57’,Municipality
5640,猪苗代湖,いなわしろこ,Inawashiro Ko,140゜ 04’,37゜ 28’,Lake
5640,猪苗代町,いなわしろまち,Inawashiro Machi,140゜ 06’,37゜ 33’,Municipality
5236,稲沢市,いなざわし,Inazawa Shi,136゜ 46’,35゜ 14’,Municipality
5340,印旛村,いんばむら,Inba Mura,140゜ 12’,35゜ 46’,Municipality
5340,印旛沼,いんばぬま,Inba Numa,140゜ 11’,35゜ 45’,Lake
5335,伊根町,いねちょう,Ine Cho,135゜ 17’,35゜ 40’,Municipality
5233,印賀,いんが,Inga,133゜ 16’,35゜ 14’,Populated area
5033,いの町,いのちょう,Ino Cho,133゜ 25’,33゜ 32’,Municipality
4933,井ノ岬,いのみさき,Inomisaki,133゜ 05’,33゜ 01’,Cape
5340,犬吠埼,いぬぼうさき,Inubo Saki,140゜ 52’,35゜ 42’,Cape
5336,犬山市,いぬやまし,Inuyama Shi,136゜ 56’,35゜ 22’,Municipality
5340,印西市,いんざいし,Inzai Shi,140゜ 08’,35゜ 49’,Municipality
4630,硫黄島,いおうじま,Io Jima,130゜ 16’,30゜ 48’,Island
3741,硫黄島,いおうとう,Io To,141゜ 18’,24゜ 47’,Island
6645,硫黄山,いおうざん,Io Zan,145゜ 09’,44゜ 07’,Mountain
5436,医王山,いおうぜん,Io Zen,136゜ 48’,36゜ 31’,Mountain
5540,伊王野,いおの,Iono,140゜ 09’,36゜ 57’,Populated area
4128,硫黄鳥島,いおうとりしま,Iotori Shima,128゜ 13’,27゜ 52’,Island
3725,伊良部島,いらぶじま,Irabu Jima,125゜ 11’,24゜ 49’,Island
5137,伊良湖岬,いらごみさき,Irago Misaki,137゜ 01’,34゜ 34’,Cape
5137,伊良湖水道,いらごすいどう,Irago Suido,137゜ 00’,34゜ 35’,Sea Area
3623,西表島,いりおもてじま,Iriomote Jima,123゜ 47’,24゜ 19’,Island
3927,入砂島,いりすなじま,Irisuna Jima,127゜ 06’,26゜ 23’,Island
3622,西崎,いりざき,Irizaki,122゜ 55’,24゜ 26’,Cape
5138,石廊崎,いろうざき,Iro Zaki,138゜ 50’,34゜ 35’,Cape
5029,海豚鼻,いるかばな,Iruka Bana,129゜ 42’,33゜ 41’,Cape
5339,入間川,いるまがわ,Iruma Gawa,139゜ 25’,35゜ 53’,River
5339,入間市,いるまし,Iruma Shi,139゜ 23’,35゜ 50’,Municipality
4930,諫早市,いさはやし,Isahaya Shi,130゜ 03’,32゜ 50’,Municipality
5841,胆沢川,いさわがわ,Isawa Gawa,141゜ 05’,39゜ 09’,River
5136,伊勢市,いせし,Ise Shi,136゜ 42’,34゜ 29’,Municipality
5236,伊勢湾,いせわん,Ise Wan,136゜ 43’,34゜ 52’,Sea Area
5339,伊勢原市,いせはらし,Isehara Shi,139゜ 18’,35゜ 24’,Municipality
4128,伊仙町,いせんちょう,Isen Cho,128゜ 56’,27゜ 40’,Municipality
4128,伊仙崎,いせんざき,Isen Zaki,128゜ 56’,27゜ 39’,Cape
5439,伊勢崎市,いせさきし,Isesaki Shi,139゜ 11’,36゜ 18’,Municipality
5029,石田,いしだ,Ishida,129゜ 44’,33゜ 44’,Populated area
3624,石垣島,いしがきじま,Ishigaki Jima,124゜ 10’,24゜ 24’,Island
3624,石垣市,いしがきし,Ishigaki Shi,124゜ 09’,24゜ 20’,Municipality
5134,石井町,いしいちょう,Ishii Cho,134゜ 26’,34゜ 04’,Municipality
6543,石狩岳,いしかりだけ,Ishikari Dake,143゜ 01’,43゜ 32’,Mountain
6441,石狩川,いしかりがわ,Ishikari Gawa,141゜ 40’,43゜ 18’,River
6541,石狩平野,いしかりへいや,Ishikari Heiya,141゜ 54’,43゜ 44’,Extensive natural featur
6542,石狩山地,いしかりさんち,Ishikari Sanchi,142゜ 51’,43゜ 40’,Extensive natural featur
6441,石狩市,いしかりし,Ishikari Shi,141゜ 18’,43゜ 10’,Municipality
6441,石狩湾,いしかりわん,Ishikari Wan,141゜ 08’,43゜ 13’,Sea Area
5436,石川県,いしかわけん,Ishikawa Ken,136゜ 37’,36゜ 35’,Municipality
5540,石川町,いしかわまち,Ishikawa Machi,140゜ 27’,37゜ 08’,Municipality
5741,石巻市,いしのまきし,Ishinomaki Shi,141゜ 18’,38゜ 25’,Municipality
5741,石巻湾,いしのまきわん,Ishinomaki Wan,141゜ 15’,38゜ 20’,Sea Area
5440,石岡市,いしおかし,Ishioka Shi,140゜ 17’,36゜ 11’,Municipality
5033,石鎚山,いしづちさん,Ishizuchi San,133゜ 06’,33゜ 46’,Mountain
5640,一切経山,いっさいきょうやま,Issaikyo Yama,140゜ 13’,37゜ 43’,Mountain
5237,一色町,いっしきちょう,Isshiki Cho,137゜ 01’,34゜ 48’,Municipality
5240,夷隅川,いすみがわ,Isumi Gawa,140゜ 24’,35゜ 17’,River
5240,いすみ市,いすみし,Isumi Shi,140゜ 23’,35゜ 15’,Municipality
5136,五十鈴川,いすずがわ,Isuzu Gawa,136゜ 43’,34゜ 25’,River
5340,潮来市,いたこし,Itako Shi,140゜ 33’,35゜ 56’,Municipality
5439,板倉町,いたくらまち,Itakura Machi,139゜ 36’,36゜ 13’,Municipality
5235,伊丹市,いたみし,Itami Shi,135゜ 24’,34゜ 47’,Municipality
5134,板野町,いたのちょう,Itano Cho,134゜ 27’,34゜ 08’,Municipality
6140,板柳町,いたやなぎまち,Itayanagi Machi,140゜ 27’,40゜ 41’,Municipality
5739,以東岳,いとうだけ,Ito Dake,139゜ 50’,38゜ 20’,Mountain
5239,伊東市,いとうし,Ito Shi,139゜ 06’,34゜ 57’,Municipality
5030,糸田町,いとだまち,Itoda Machi,130゜ 46’,33゜ 39’,Municipality
5537,糸魚川市,いといがわし,Itoigawa Shi,137゜ 51’,37゜ 02’,Municipality
3927,糸満市,いとまんし,Itoman Shi,127゜ 39’,26゜ 07’,Municipality
4830,五木村,いつきむら,Itsuki Mura,130゜ 49’,32゜ 23’,Municipality
5132,斎灘,いつきなだ,Itsuki Nada,132゜ 50’,34゜ 06’,Sea Area
5132,厳島（宮島）,いつくしま（みやじま）,Itsuku Shima (Miyajima),132゜ 18’,34゜ 15’,Island
6240,岩部岳,いわべだけ,Iwabe Dake,140゜ 18’,41゜ 31’,Mountain
5135,岩出市,いわでし,Iwade Shi,135゜ 18’,34゜ 15’,Municipality
5439,岩舟町,いわふねまち,Iwafune Machi,139゜ 39’,36゜ 19’,Municipality
5841,磐井川,いわいがわ,Iwai Gawa,141゜ 09’,38゜ 56’,River
5031,祝島,いわいしま,Iwai Shima,131゜ 58’,33゜ 46’,Island
5941,岩泉町,いわいずみちょう,Iwaizumi Cho,141゜ 47’,39゜ 50’,Municipality
6140,岩木川,いわきがわ,Iwaki Gawa,140゜ 25’,40゜ 46’,River
,磐城海山,いわきかいざん,Iwaki Kaizan,144゜ 51’,36゜ 59’,Undersea feature
6040,岩木山,いわきさん,Iwaki San,140゜ 17’,40゜ 39’,Mountain
5540,いわき市,いわきし,Iwaki Shi,140゜ 53’,37゜ 03’,Municipality
5132,岩国市,いわくにし,Iwakuni Shi,132゜ 13’,34゜ 10’,Municipality
5236,岩倉市,いわくらし,Iwakura Shi,136゜ 52’,35゜ 16’,Municipality
5334,岩美町,いわみちょう,Iwami Cho,134゜ 19’,35゜ 34’,Municipality
5232,石見高原,いわみこうげん,Iwami Kogen,132゜ 11’,34゜ 53’,Extensive natural featur
6441,岩見沢市,いわみざわし,Iwamizawa Shi,141゜ 46’,43゜ 11’,Municipality
5438,岩村田,いわむらだ,Iwamurada,138゜ 28’,36゜ 16’,Populated area
6440,岩内町,いわないちょう,Iwanai Cho,140゜ 30’,42゜ 58’,Municipality
5740,岩沼市,いわぬまし,Iwanuma Shi,140゜ 52’,38゜ 06’,Municipality
6440,イワオヌプリ,いわおぬぷり,Iwao Nupuri,140゜ 37’,42゜ 53’,Mountain
5537,岩瀬,いわせ,Iwase,137゜ 14’,36゜ 45’,Populated area
5538,岩菅山,いわすげやま,Iwasuge Yama,138゜ 33’,36゜ 44’,Mountain
5237,磐田市,いわたし,Iwata Shi,137゜ 51’,34゜ 43’,Municipality
5941,岩手県,いわてけん,Iwate Ken,141゜ 09’,39゜ 42’,Municipality
5941,岩手町,いわてまち,Iwate Machi,141゜ 12’,39゜ 58’,Municipality
5941,岩手山,いわてさん,Iwate San,141゜ 00’,39゜ 51’,Mountain
5033,祖谷川,いやがわ,Iya Gawa,133゜ 51’,33゜ 53’,River
5031,伊予灘,いよなだ,Iyo Nada,131゜ 55’,33゜ 37’,Sea Area
5032,伊予市,いよし,Iyo Shi,132゜ 42’,33゜ 45’,Municipality
4027,伊是名島,いぜなじま,Izena Jima,127゜ 57’,26゜ 55’,Island
4027,伊是名村,いぜなそん,Izena Son,127゜ 56’,26゜ 55’,Municipality
5238,伊豆半島,いずはんとう,Izu Hanto,138゜ 51’,34゜ 56’,Extensive natural featur
5238,伊豆市,いずし,Izu Shi,138゜ 56’,34゜ 58’,Municipality
5741,出島,いずしま,Izu Shima,141゜ 31’,38゜ 26’,Island
5139,伊豆諸島,いずしょとう,Izu Shoto,139゜ 16’,34゜ 14’,Extensive natural featur
4830,出水市,いずみし,Izumi Shi,130゜ 21’,32゜ 05’,Municipality
5135,和泉市,いずみし,Izumi Shi,135゜ 25’,34゜ 29’,Municipality
5135,泉大津市,いずみおおつし,Izumiotsu Shi,135゜ 24’,34゜ 30’,Municipality
5135,泉佐野市,いずみさのし,Izumisano Shi,135゜ 19’,34゜ 24’,Municipality
5540,泉崎村,いずみざきむら,Izumizaki Mura,140゜ 17’,37゜ 09’,Municipality
5332,出雲市,いずもし,Izumo Shi,132゜ 45’,35゜ 22’,Municipality
5638,出雲崎町,いずもざきまち,Izumozaki Machi,138゜ 42’,37゜ 31’,Municipality
5238,伊豆の国市,いずのくにし,Izunokuni Shi,138゜ 55’,35゜ 01’,Municipality
,伊豆・小笠原海溝,いずおがさわらかいこう,Izu-Ogasawara Kaiko,142゜ 16’,31゜ 12’,Undersea feature
5239,十国峠,じっこくとうげ,Jikkoku Toge,139゜ 02’,35゜ 07’,Pass
5438,十石峠,じっこくとうげ,Jikkoku Toge,138゜ 39’,36゜ 06’,Pass
5236,甚目寺町,じもくじちょう,Jimokuji Cho,136゜ 49’,35゜ 11’,Municipality
5339,陣馬山,じんばさん,Jinba San,139゜ 09’,35゜ 38’,Mountain
5034,甚吉森,じんきちもり,Jinkichi Mori,134゜ 06’,33゜ 41’,Mountain
5233,神石高原町,じんせきこうげんちょう,Jinsekikogen Cho,133゜ 14’,34゜ 42’,Municipality
5537,神通川,じんづうがわ,Jinzu Gawa,137゜ 13’,36゜ 45’,River
5032,地芳峠,ぢよしとうげ,Jiyoshi Toge,132゜ 56’,33゜ 28’,Pass
5439,地蔵岳,じぞうだけ,Jizo Dake,139゜ 27’,36゜ 36’,Mountain
5333,地蔵埼,じぞうざき,Jizo Zaki,133゜ 19’,35゜ 33’,Cape
5540,常磐,じょうばん,Joban,140゜ 51’,37゜ 00’,Populated area
5538,上越市,じょうえつし,Joetsu Shi,138゜ 14’,37゜ 08’,Municipality
5537,常願寺川,じょうがんじがわ,Joganji Gawa,137゜ 17’,36゜ 46’,River
5239,城ヶ島,じょうがしま,Jogashima,139゜ 36’,35゜ 07’,Island
5233,上下,じょうげ,Joge,133゜ 07’,34゜ 41’,Populated area
5439,城峰山,じょうみねさん,Jomine San,139゜ 00’,36゜ 05’,Mountain
4930,城南町,じょうなんまち,Jonan Machi,130゜ 43’,32゜ 42’,Municipality
5437,常念岳,じょうねんだけ,Jonen Dake,137゜ 43’,36゜ 19’,Mountain
5439,常総市,じょうそうし,Joso Shi,139゜ 59’,36゜ 01’,Municipality
5235,城陽市,じょうようし,Joyo Shi,135゜ 46’,34゜ 51’,Municipality
6441,定山渓,じょうざんけい,Jozankei,141゜ 10’,42゜ 57’,Populated area
6041,十三本木峠,じゅうさんぼんぎとうげ,Jusanbongi Toge,141゜ 14’,40゜ 04’,Pass
6140,十三湖,じゅうさんこ,Jusanko,140゜ 21’,41゜ 01’,Lake
5440,加波山,かばさん,Kaba San,140゜ 09’,36゜ 17’,Mountain
4928,椛島,かばしま,Kaba Shima,128゜ 58’,32゜ 46’,Island
4829,樺島,かばしま,Kaba Shima,129゜ 47’,32゜ 33’,Island
3624,川平,かびら,Kabira,124゜ 08’,24゜ 27’,Populated area
3927,嘉手納町,かでなちょう,Kadena Cho,127゜ 45’,26゜ 21’,Municipality
4830,角山,かどやま,Kado Yama,130゜ 05’,32゜ 23’,Mountain
4831,門川町,かどがわちょう,Kadogawa Cho,131゜ 38’,32゜ 28’,Municipality
4530,門倉岬,かどくらみさき,Kadokura Misaki,130゜ 53’,30゜ 20’,Cape
5235,門真市,かどまし,Kadoma Shi,135゜ 35’,34゜ 44’,Municipality
5436,加賀市,かがし,Kaga Shi,136゜ 18’,36゜ 18’,Municipality
5540,鏡石町,かがみいしまち,Kagamiishi Machi,140゜ 20’,37゜ 15’,Municipality
5233,鏡野町,かがみのちょう,Kagamino Cho,133゜ 55’,35゜ 05’,Municipality
5134,香川県,かがわけん,Kagawa Ken,134゜ 02’,34゜ 20’,Municipality
5338,篭坂峠,かごさかとうげ,Kagosaka Toge,138゜ 52’,35゜ 23’,Pass
4730,鹿児島県,かごしまけん,Kagoshima Ken,130゜ 33’,31゜ 33’,Municipality
4730,鹿児島市,かごしまし,Kagoshima Shi,130゜ 33’,31゜ 35’,Municipality
4730,鹿児島湾,かごしまわん,Kagoshima Wan,130゜ 36’,31゜ 30’,Sea Area
5740,河北町,かほくちょう,Kahoku Cho,140゜ 18’,38゜ 25’,Municipality
5436,河北潟,かほくがた,Kahoku Gata,136゜ 39’,36゜ 38’,Lake
5536,かほく市,かほくし,Kahoku Shi,136゜ 42’,36゜ 43’,Municipality
5338,甲斐市,かいし,Kai Shi,138゜ 30’,35゜ 39’,Municipality
5034,海部川,かいふがわ,Kaifu Gawa,134゜ 19’,33゜ 39’,River
,海形海山,かいかたかいざん,Kaikata Kaizan,141゜ 00’,26゜ 40’,Undersea feature
4630,開聞岳,かいもんだけ,Kaimon Dake,130゜ 31’,31゜ 10’,Mountain
5135,海南市,かいなんし,Kainan Shi,135゜ 12’,34゜ 09’,Municipality
5339,開成町,かいせいまち,Kaisei Machi,139゜ 07’,35゜ 20’,Municipality
5132,海田町,かいたちょう,Kaita Cho,132゜ 32’,34゜ 22’,Municipality
,海徳海山,かいとくかいざん,Kaitoku Kaizan,140゜ 56’,26゜ 05’,Undersea feature
5034,海陽町,かいようちょう,Kaiyo Cho,134゜ 21’,33゜ 35’,Municipality
,海洋海山,かいようかいざん,Kaiyo Kaizan,139゜ 15’,43゜ 57’,Undersea feature
5236,海津市,かいづし,Kaizu Shi,136゜ 38’,35゜ 13’,Municipality
5135,貝塚市,かいづかし,Kaizuka Shi,135゜ 21’,34゜ 26’,Municipality
5639,加治川,かじがわ,Kaji Gawa,139゜ 17’,37゜ 59’,River
5338,鰍沢町,かじかざわちょう,Kajikazawa Cho,138゜ 27’,35゜ 32’,Municipality
4730,加治木町,かじきちょう,Kajiki Cho,130゜ 39’,31゜ 44’,Municipality
5336,各務原市,かかみがはらし,Kakamigahara Shi,136゜ 50’,35゜ 23’,Municipality
5029,加唐島,かからしま,Kakara Shima,129゜ 51’,33゜ 35’,Island
5237,掛川市,かけがわし,Kakegawa Shi,137゜ 59’,34゜ 46’,Municipality
5436,梯川,かけはしがわ,Kakehashi Gawa,136゜ 24’,36゜ 25’,River
4229,加計呂麻島,かけろまじま,Kakeroma Jima,129゜ 14’,28゜ 06’,Island
5234,加古川,かこがわ,Kako Gawa,134゜ 56’,34゜ 52’,River
5234,加古川市,かこがわし,Kakogawa Shi,134゜ 50’,34゜ 45’,Municipality
5640,角田市,かくだし,Kakuda Shi,140゜ 46’,37゜ 58’,Municipality
5234,鹿久居島,かくいしま,Kakui Shima,134゜ 17’,34゜ 42’,Island
5030,嘉麻市,かまし,Kama Shi,130゜ 42’,33゜ 33’,Municipality
4932,蒲戸崎,かまどざき,Kamado Zaki,132゜ 01’,33゜ 03’,Cape
6141,釜臥山,かまふせやま,Kamafuse Yama,141゜ 07’,41゜ 16’,Mountain
5340,鎌ケ谷市,かまがやし,Kamagaya Shi,140゜ 00’,35゜ 46’,Municipality
5841,釜石市,かまいしし,Kamaishi Shi,141゜ 53’,39゜ 16’,Municipality
5841,釜石湾,かまいしわん,Kamaishi Wan,141゜ 54’,39゜ 15’,Sea Area
5239,鎌倉市,かまくらし,Kamakura Shi,139゜ 32’,35゜ 19’,Municipality
5338,釜無川,かまなしがわ,Kamanashi Gawa,138゜ 29’,35゜ 39’,River
5338,釜無山,かまなしやま,Kamanashi Yama,138゜ 10’,35゜ 51’,Mountain
6240,亀田半島,かめだはんとう,Kameda Hanto,140゜ 48’,41゜ 53’,Extensive natural featur
5033,瓶ヶ森,かめがもり,Kamegamori,133゜ 11’,33゜ 47’,Mountain
5235,亀岡市,かめおかし,Kameoka Shi,135゜ 34’,35゜ 00’,Municipality
5236,亀山市,かめやまし,Kameyama Shi,136゜ 27’,34゜ 51’,Municipality
5334,香美町,かみちょう,Kami Cho,134゜ 37’,35゜ 38’,Municipality
5136,神島,かみじま,Kami Jima,136゜ 58’,34゜ 32’,Island
5740,加美町,かみまち,Kami Machi,140゜ 51’,38゜ 34’,Municipality
5033,香美市,かみし,Kami Shi,133゜ 41’,33゜ 36’,Municipality
5239,神山,かみやま,Kami Yama,139゜ 00’,35゜ 14’,Mountain
5129,上県,かみあがた,Kamiagata,129゜ 23’,34゜ 38’,Populated area
4929,上阿値賀島,かみあじかしま,Kamiajika Shima,129゜ 19’,33゜ 14’,Island
4830,上天草市,かみあまくさし,Kamiamakusa Shi,130゜ 25’,32゜ 35’,Municipality
6542,上富良野町,かみふらのちょう,Kamifurano Cho,142゜ 28’,43゜ 27’,Municipality
